,descricao_produto
397376,CETOPROFENO 50 MG C 24 CAP
501037,SACO DE LIXO PEREIRA 15 LTS
480859,COLA BRANCA 500GR PIRATININGA
297187,PETRONAS COOLANT 11 BD
553328,PAPELEIRA CROMADA
165370,MOLA RECUO
3035,SABAO TIXAN
4403,COXIM TRANSMISSAO
220359,CARRINHO BEBE MARCA GALZERANO
636723,PANO LIMP UNIAO CRU 55X80CM
281445,MP CIPROFIBRATO 200MG UNID
339005,TECNOMET 2.5 X 20
60768,MAC STA AM C OVOS ESP N8 500GR
505549,PAPEL A4 210X297 75G MA PACOTE COM 500 FL
2039,P COLORSET DP FACE 48X66 AMARELO
41193,ESPONJA ESFREBOM 1X1
667101,SABAO BARRA MINUANO 5UN 1KG
325662,SIRENE SINALIZACAO RE
503553,LUVA NITRILIA CANO LONGO G
19919,AMORTECEDOR TRAS PALIO WEEKEND
302752,PORCA SXT.10MM MA
470237,LEXOTAN 3 MG C 30
236695,ABRIGO P EXTINTOR
353068,TONER BROTHER T650 TN550 TN580 TN620 TN650 3130
635794,FORMOCAP 12 MCG. C 30 CAPS
327612,TB SOLDAVEL 6 M 32 MM
551593,LUVA RASPA MAO
281783,MULTI USO CLASSIC 500ML
670814,COLORSET 48X66 PRETO
152803,GARRAFA ALA.CONT 1L 3027
159468,LEITE NAN H A 400G
704561,TESOURA P PODA HOBBY
86629,LB TRM 4 SAE 90 1L
131567,CLORO LIQUIDO ASA LESTE 2L
16338,XTZ150 CROSSER
501218,TESOURA CIS TS 54 OFFICE 21CM CB. PRETO
250766,EVA GLITER EVEAH.AMARELO
546546,PORTA VENEZIANA 217X75X12
136852,CRESTOR 10 MG C 30 CAP
301248,PLURON 144 A SEPT BB 5L
692294,FRANGO TEMP KG
424004,TUBO PVC SOLDAVEL 40MM UNOCAN
631918,CHICLETES
684869,ENGATE FLEXIVEL PVC 30CM
397275,ABOBRINHA NACIONAL
113243,BA RO MA M10 ZB
599738,AGUA SANITARIA MARINA 05 L
114034,BAND AID TRANSPARENTE
416187,ADAPTADOR CURTO SR 20X12
409349,COXIM SILENCIOSO TRAS
156688,JOELHO 45 ESG DN 50
285471,OLEO LUBRAX
293269,PARAFUSO SEXTAVADO 8MM
131151,CLIP'S 2 0 CX COM 500 GR
198210,ADAPTADOR FLANGE 25X3 4 PLASTUBOS
636328,"CABO COBRE PP 4X4,00MM"
470047,PILHA ALCALINA MEDIA C 2
529792,VENTILADOR WEG NEMA 56ABDH ORIG. PLANA
90267,SULFERBEL 125MG C 30ML GTS SULF FERROSO ASSOC
231369,CORANTE XADREZ BRANCO
213922,BUCHA NYLON 07
564215,VERNIZ CAVITARIO 15ML
556542,SONDA GASTRICA LEVINE 18 BIOSANI
136680,CREATININA K 300 ML LABTEST
342717,TERMINAL TUBULAR 50MM
514904,CHAVE COMBINADA 19
82984,RETENTOR 0893 BA SABO
310481,REGUA ANTROPOMETRICA PEDIATRICA 100 CM
196871,"PROMETAZINA 25MG,CLORIDRATO Q 10.000,00"
691391,NEO METRODAZOL 250 MG C 20 COM
3216,XARELTO 20 MG01 CP S BAY
485776,VITERGAN ZINCO 30COM
81747,REGUA MILIMETRADAS
454582,"PRATO DESC. COPOBRAS 17,5CM 10UN"
401548,COMBIGAN FR 5ML
664423,CAL P PINTURA 7KG CALFIX
609135,"PORTA MADEIRA MACICA ALMOFADA 0,80X2,10"
101587,"TUBO GALVANIZADO REDONDO 76,20X2,00X6000MM"
14048,TRAVATAN
370462,"ESMALTE 4X3,6 EUCALAR BRILH.CONHAQUE"
373346,GRAMPO PARA GRAMPEADOR C 5000 UNIDADES
581777,LEITE LONGA VIDA BATAVO INTEGRAL 1 L
570087,SUNGA OU MAIO KIT NATACAO EDUCADOR
6122,EXTRATOR TARTARO 34
631682,ROLAMENTO CENTRO TRANSMISSAO COMPLETO
78060,"PORTA PRANCHETA 2,10 X 60"
233460,PLACA TUBO DESLIZANTE 90 16 FUROS
531296,LIMA ENXADA 8 KF CHATA
704246,G ESCITALOPRAM 10MG 30S EUROFARMA
154395,ESPONJA ACO 60 GRAMAS PCT C 08 UNIDADES
185400,ROLAMENTO QJ 308
668463,BICO PRESILHA P ENCHER PNEUS MS 18
340558,TEMP. ARISCO ALHO SAL 1KG
257776,JOELHO 90 ESG DN40 PLASTUBOS
600936,00046 CA 60 4 2MM BARRA
70943,PARAFUSO AUTO ATARRACHANTE 4.8X45
227448,COLHER 9202
357003,LUVA ESG 40MM AMANCO
108920,AMAC MARINA CONFORTO 5L
8110,ESTABILIZADOR FORCE LINE MONOVOLT
138815,DESODORANTE DOVE
596183,TENSOR DA CORREIA DENTADA FOX GOL POLO 8V EA 111
329615,SORO FISIOLOGICO 500ML C 24 FX
526223,COLA 500G NEW MAGIC UND
211482,ABRACADEIRA REFORCADA 79X87 3
330267,SPIRAX G 140 1 L
277049,MASSA CORRIDA HIDRACOR 18L
481081,CARBIDOPA LEVODOPA
206734,BARBANTE KIT MACROCAMPOS
218381,"MOLA BI CONICA CUICA CAMARA 30X30 ARAME 13,70"
57706,LIMPA BAU FX1100 50L
305659,"PURAN T4  12,5MCG 30CPR"
128065,BUCHA CONICA PARA BOMBEADOR BHS222 232
397641,SABONETE 90
375865,"AZITROMICINA 500MG ITEM GENERICO Q 500,00"
93855,CIPROFLOXACINO 500MG C 210 HOSPITALAR
62374,MANILHA ARMADA 800 MM
99988,TRAM. ELET. CAIXA MULTIPLA X CZ ES 57250 011
18714,ADESIVO BISNAGA 75G AM
337406,VALVULA P LAVAT TANQUE 1 1 2 N09
117273,BOMBA D AGUA UB0764
648652,GUARDANAPO SANTEPEL 24 24
638387,LUX2 TOMADA DUPLA 2P T NBR TRAMONTINA
179778,REFEICOES COM ACOMPANHAMENTO
13495,UNIDADE FUSAO 120V
658354,LAMINA EST LARGO C 10 CIS
568710,CHAVE ESTRELA PRO 44630 104 12 X 13
118458,BROCA ACO RAPIDO STAND015 1 4
148345,BRILHA ALUMINIO ESTRELA 500ML TRAD
153252,BOLO GELADO
216901,ADAPTADOR PARA CAIXA DAGUA 60MM
126540,CD VIRGEM
708166,LIXEIRA QUADRADA COM TAMPA
345411,COADOR ULTILAR
473589,LAMPADA SETA 12V PHILIPS
151735,FORCADO
179207,RADIADOR 5X0 121251
47180,FRALDAS COTIDIAN CLASSICA M C 8
269505,LUVA GALVANIZADA 2.1 2
85432,SAB JEJ LAVANDA CAMOMILA
476039,ASPIRINA C 400 250MG 50ENV X 2COM EFV
543547,POLVILHO AZEDO ANCHIETA 1KG
551333,TOALHA BANHO ROYAL LISA 70X130
553076,PAPEL GOFRATA 180G PCT. C 50FLS
369315,RETENTOR EIXO PILOTO FIAT
407238,PAPEL P ECG 58X30
212805,BROCA ACO RAPIDO 1 4 IRWIN IW1120
40140,ESCOVA MAD EST NORTE
506073,CUBA RIM 26X12X6CM 750ML
292010,PARAFUSO CORTICAL 3.5X36MM
553350,COLA COLORIDA 25GRAMAS APLICOLA
691285,EXTREMIDADE FD BF10 DN 100 JG
394216,ARRUELA LISA ABA EST 06MM
249238,GARFO DESCARTAVEL C 50UN
189335,SAZON VERMELHO CARNE LEGUMES ARROZ 60G
420207,OLEO ATF DIRECAO HIDRAULICA 1 L
185962,ROLO LA 23CM CONDOR ZERO GOTA 959
364234,PLAFLOM PERLEX
410770,DUREPOXI 100 GRS
260374,KIT P NEBULIZACAO ADU
177255,PORTA LAPIS MEDIO
508732,ESC DENTAL TORCEDOR POWERDENT
179525,"REBITE POP 4,0X19"
310370,REGISTRO PVC ESFERA SOLD 20MM DURIM
554504,MARTELO FAMASTIL 25MM
186791,SABAO PO 1000G
66978,OLEO DIRECAO HIDR 100 ML
303818,POSTE PONTA VIRADA
367098,FILTRO LUBRIFICANTE BLINDADO FRONTIER PSL47
149445,FEIJAO CARIOCA GALANTE 1KG PC T1
477034,JG BUCHA MOTOR PARTIDA
643920,PROPRANOLOL 40MG 30COM MEDLEY
103266,VALVULA REGULADORA 018
663294,"ALMOFADA CARIMBO PILOT N 3 AZUL UN 1,0"
74200,PINCEL 396 3 ATLAS
493772,TOPIRAMATO 50MG 60COM GERMED
38347,ELEVADOR COMPLETO.PARCIAL DESMONTADO
126843,CENTRUM MULHER 30COM
654777,ARRUELA LISA ZINC 1 4
140363,DISJUNTOR MINI MONOPOLAR CURVA C 10A 127VCA 10KA
58906,LONA PRETA 8M 150 MICRAS
119755,CABO DUPLEX 35 MM
646999,REATOR 2 X 20 MARGIRUS
203738,ARAME GALV 18
477223,PROTETOR AUDITIVO SILICONE K 10
642085,CORREIA POLY V 7PK1070
368611,BROCAL 3G PRATA APLICOR
55165,LAMPADA ELETRONICA 15W OSRAM
199813,"AGUA CRYSTAL 1500ML SEM GAS NOVA UN 1,0"
76965,PONTA MONTADA C 179
146236,ESCULPIDOR HOLLEMBACK N 03 S ABC
180750,REPOFLOR 200 MG FR CPS C 6 SACCHAROMYCES BOULARDII
87948,SERINGA 3ML CX 100
414689,PICANHA A MODA REGENTE
637876,SCHIN COLA 2L
179697,"REF. FANTA LARANJA 1,5L"
573006,ADAPTADOR SIMPLES ROSCA X RANHURA 3
484506,CABO EMB UNO MILLE FIRE 02
521051,BACIA ARQPLAST
51733,"INVERSOR FREQ. 3,5A 200 240V"
591356,PLACA POLIEST MOD M 1 1MMX500MMX330MM
266971,LIXEIRA PEDAL 12 LARQ
265523,BALAO LINGUICA
259790,INSETICIDA K OTHRINE SC 25 30ML
651848,SIFAO AJUST. MULTIUSO BRANCO TIGRE
408105,BOMBA MANUAL BOS
317432,ROSUVASTATINA CALCICA 10 MG COMP REV CT BL AL AL X
39746,COLHER TOK DESCARTAVEL 50 1
328956,SONDA URETRAL N.06 C 10
593565,H LG INHAME
259684,JUNTA 2P9326
437375,FILTRO COMBUSTIVEL BOSCH
593684,TROFEU VENCEDOR
334401,JOGO PEGA PEGA TABUADA
21502,ARTES E OFICIOS REN. ISTO E AQUILO
451268,MILHO VERDE CONSERVA 340G
453651,PAPEL CARTAO FOSCO 48X66CM. 200G. VERMELHO
100775,TRINCHA PINTURA ATLAS 396 5 2
116245,BISCOITO CAIUBI MARIA
675282,BALDE PRETO TERRAPLAST 12L
148586,DETERGENTE EMBALAG 500ML
232138,COXIM AMORT TRAS FIAT
369431,FILTRO INJECAO CORSA STRADA MERIVA 1.8 FLEX GI04 7
280229,MOLHO TOM POMAROLA 340GR TRAD SACH
474699,PIPOCA DOCE 15GM C 50
681168,LAMPADA FAROL H7 12V 55W CARGO 01
110008,ANORO
375338,AMORTECEDOR BROS
222652,CHOC LACTA BIS XTRA AO LEITE 45G
158450,LAMPADA 1034 2 POLOS
52845,JOELHO P ESGOTO 150MM 90
479682,PRESUNTO AURORA PEPERI KG
334903,LASTACAFT COL 3ML
519207,CAPA PVC P ENCADERNACAO A4
212923,"BROCA ACO RAPIDO 3 32 02,3MM"
232314,COXIM DO CAMBIO FIAT
71519,PARAFUSO OCO 16MM SIMPLES
30435,CESTO PARA LIXO FECHADO COM TAMPA
584764,GROW D
82602,REQUEIJAO MINAS MILK 400G
272974,MANCAL ENCOSTO
379479,CHAVE FAROL C\ REOSTATO
703102,ROTOR AL ME1 104MM 1630
668750,LORATADINA 1MG ML 100 ML
80855,REFIL AD 230
699818,REPARO TBI
291617,PARAFUSO CALCO MOTOR DO FIAT
121675,CAFE 3 CORACOES KG
338567,MARCADOR P TECIDO ACRILPEN VM FOGO ACRILEX 507
341349,CIMENTO INTERMEDIARIO REFORCADO 38G PO E 15ML LIQ
538146,OLEO CAMBIO LUBRAX TRM4 40 20L
146292,TESOURA ESCOLAR CORES UN
602954,MAC YARA ESPAG. N 0 1KG 7896417202020
355946,CAVADEIRA ARTIC C CANO N01 JUPITER
365145,BROCA VIDIA 06.00 MM 1 4 IRWIN
455396,PAO PATE
547976,PNEU 175 70R14 88H XL S ATR
344862,AMITRIPTILINA 25 MG COMP
144207,ENVELOPE OFICIO A4
85391,ROLAMENTO ESFERAS 6001 Z TRANS FS10 290 ORIGINAL
571117,ALICATE REBITADOR ENCAR FOXLUX
268363,LUKS ESMALTE 3600 CINZA MEDIO
571464,RELE MMRT
491707,PALHETA DIANT BOS
293980,PASTA A E BRANCA
302092,ANEL MENOR PONTA DO EIXO A TRANSMISSAO 580L 4X4
226870,COLA PVC 75G DURIN
309551,REFRI. ANTARCTICA 2L
124574,CAPACITOR AM 540 648UN 110V
41350,ESQUADRO 12P
10734,DORZOLAMIDA TIMOLOL 20 5MG ML GEN SOL OFT 5ML TE
400212,TROFEU PARA GOLEIRO
574472,ADAP. CURTO AMANCO 25MM
224520,CLIPS GALVANIZADO N 2 0 C 100 UN
345792,ESTILETE LARGO COM CABO PLASTICO
704460,PAPEL HIGIENICO PERSONAL 30M 8 UN
197416,ABRIDOR LATA METAL
69816,PAPEL HIGIENICO 60 M C 24
636242,FEIJAO CARIOCA PINUS 1KG
464581,OLEO INCOL SUPER 4T 20W50 SF
573918,EXTENSAO TRIPLA PP PLANO 2X0.75 5M
49931,GT OIL LH 46 20L
171583,PEN DRIVE 32G
649401,"PARAFUSO CORTICAL 2,7X22MM"
511270,2TD 311335 CUBO
454265,TARUGO NYLON 50MM
498660,FLANELA LARANJA 28X48CM
110205,APARELHO PRESSAO ADULTO OBESO ESFIGNOMAMOMETR
367569,ELETRODO 60 X 13
608646,PAPEL HIGIENICO ZAPEL TISSUE 4X60M
679703,ALFINETE CABECA N 29 50G
121194,CAFE CABOCLO 500VACUO TRAD
41685,CATETER HEMODIALISE D L 12FR X 16CM KIT RMS
403336,LUVA CORRER PVC SOLDAVEL 20MM TIGRE
346792,NEULEPTIL 4% SOL ORAL FR 20ML
482852,ALFINETE MAPA CORES CX
581457,"AQUECEDOR ACO INOX IMC 1,2KW 127V 102X"
304033,PRANCHETA DURATEX
676945,101 905 632 VELA IGNICAO VW
310500,REGUA 30 CM CRISTAL C 25
509367,"ESM ACET 3,6 SUV NEVE"
268130,FILTRO LUBRIFICANTE D1
518780,VIMOVO 500MG 20MG CPR REV 1X20 ETICO
504279,CADEADO N 50 DOURADO METAL
113488,BAGUETE 20X14 FOSCO
193031,TRADO MANUAL 3 8
121624,CAFE TRADICIONAL
197701,ACHOC. PO CHOCOVILMA 1KG
411325,ENGRENAGEM COND
324019,PISSETA 500 ML
586236,CAFE PO 500 G SCARANO
34832,DEPAKENE 500 MG C 50 COM REV ABBOT
456187,PECA ENGATE POLIAMIDA
481191,INDICADOR BIOLOGICO ESTER CONT 24HS CX C 10 UN KIMS
10155,MESALAZINA 400MG CX 30 COM REV
598445,CABO P ROLO SIMPLES
442951,CRONOMETRO DIGITAL ART SPORT
464990,CAPA PRENSSAR 1 4
177437,POSX MA 16 0651
453167,EXTENSAO GARRA 10 M
68034,OVOS BCO TP GDE SOMAI CX 30 DZ
707604,SACO LIXO CERGRAN 100L C 5
258932,F.AR DUCATO JUMPER BOXER 2.3
652696,DECONGEX PLUS XPE 120ML
577732,PARAFUSO 9 16 X 2
87770,SENSOR PRESSAO ABSOLUTA
468175,OLEO SAE 30 20 L
548238,VELA DECLORANTE
145011,"AGULHA DESC20 X 5,5 SR"
86847,SAL REF.MARLIM 1KG
20627,ARCO PLASTICO FINO PRETO DZ
379506,BOLO CHOCOLATE UN
330560,NOEX 50MCG SPRAY 200DOSES
144115,ENVELOPE BRANCO TIPO CARTA
691730,VASSOURA TEIU DACASA
446853,COR ALTERNADOR
517089,CALCULADORA 12 DIG BRW CC3000
380535,TAMBOR DIANT
294762,PASTA DIVISORIA
608839,KIT TRANSMISSAO TITAN 150
662472,TIRANTE UNC 5 16 X430MM P MODS.22
253889,HIDROGEL C ALGINATO ALLYGEL 85G BIS
140008,DISCO RIFAMPICINA 5 MCG 50 CECON
536190,PLACA EVA 40X48 CORES SORTIDA
459498,SACOLA METAL.C 50 30X45CM CX N 30X45 MAGNATE
405594,ADESIVO PVC 17G
268509,BRAVO LUSTRA MOVEIS LAVANDA 500ML
458857,LIVRO ATA COM 100 FL TILIBRA
306096,QUADRO AVISO
600584,MASSA CORRIDA 29 KG BEMASSA
144618,BUCHA AMERICANA UX 08 X 50 C ABA FISCHER
55226,LAMPADA ESPIRAL 46WX127V
281063,MESA MADEIRA PARA PROMOTOR FR FR
119104,BU SEGUR NL 60A 316
463469,PILHA RAY O VAC PEQUENA 4 UN
148777,ETIQUETA MATRICIAL
575829,15412HM5A10.FILTRO OLEO
252067,GUARANA ANTARCTICA PET 2L
162345,CJ MANCAL
245228,"CABO COBRE FLEXIVEL 16,0 MM HEPR"
586244,"CARRINHO MAO REFOR CHAPA 16 PNEU3,2"
21189,ARRUELA CABECOTE MBB
570116,ERVA DOCE PCT 40 GRAMAS
642230,DISCO CORTE DIAMANTADO TURBO THOMPSON
36929,DM034 X DAILET MULTIPLO X 3 4
606790,CADEIRA PARA COLETA SANGUE MA 403
483886,LIXA PAREDE 120
300981,TESOURA DOMESTICA CABO PLASTICO
604037,MANGUEIRA 3 4 X 2 SN
281972,ESPONJA DUPLA FACE MULTIUSO
494965,CERA LIQ BRIO BRY INCOLOR
113479,BAGAGEM
695569,ADAPTADOR SD CURTO 50 X 1 1 2
20162,ANTENA AIR GRIDE 5.8 27 DBI UBIQUITI
112766,ATAD. CREPE 15CM
291641,"PARAFUSO CANULADO 3,5X24X07 RC"
421333,COND TRESEMME 400ML BLIND PLATINUM
602612,MANG.FREIO TRASEIRO
446158,PROTETOR ARO 20 SBN
617833,CURVA 90 SOLDAVEL 60
29739,CARTUCHO COMPATIVEL TONER 85A
250565,GLICOSE 50% 10ML CX.C 200 AMP. FARMACE
280385,MORT BOLONHA OURO PERDIGAO
677284,ELETRODUTO 3 4
701851,MAZA THINNER 116 5 L
651668,COLA BASTAO C 12UN
166011,NOBREAK
654174,PERFURADOR PAPEL ATE 100 FL CA123
281588,MUDAS THUIA COMPACTA
588325,MADEFIBRA BRANCO 275X183X15 2 FACES
422094,OVOS GRANJA TIPO EXTRA
564530,BOTINA CARTOM ELASTICO SB CA 17137 41
140044,DISCOS FRACAES
154053,"GLP DE13,0 KG"
406194,TERMINAL PRESSAO 240MM
22394,BALA ARCOR B. TOFFEES CHOCOLATE 600G
139505,DIPIRONA GTS 500 MG GEN FRS. C 20 ML MARIOL
496004,"SORO FISIOLOGICO 0,9%%20100MLX70 FR 715"
196309,VERGALHAO CA50 8MM D12M NERV
509730,FECHADURA CENTRAL 211843604J
205796,BARRA FERRO 5 16 8.0 MM
671308,ROLAMENTO 6000 1 LINHA
581891,BROCA CARBIDE FG K 170L KAVO KERR
315352,ROLO ESP ATLAS CZ 406 15CM
703237,BRACO D ALUMINIO P CHUV 1 2 AMPLIMETAL
300993,TUBO PLASTICO
384361,LUVA CORRER ESGOTO 150MM
392269,PLAFON BRANCO
302901,PORCA SEXT UNC 1 2
117415,BOMBOM BONOBON BRIGAFEIRO
188900,PAD LIDER SALGADINHO KG
32479,COND.SEDA LISO PERFEITO 350ML
208889,BOBINA IMPRESSORA
651340,TE 60 SOLD
623463,CIMENTO CAMPEAO CP IV E 32 50KG
507536,ENVELOPE OFICIO S RPC 114X229 75GR BCO 507
411713,CARRINHO CHAPA 16
269035,LUVA CORRER OCRE JE 100MM
251798,GRAXA LUBRAX 500GR
378223,PASTA CLASSIFICADORA CARTAO DUPLO PCT C 10
275243,CANETA MARCA TEXTO JOCAR OFFICE
620867,BARRA ROSCAVEL 3 8 POLIDA
12308,TRIATOX 200 ML
19893,AMORTECEDOR MS.32
607416,SACO LIXO ROLO DUBONO 15L
507346,"COMPLEXO B AMP IM IV Q 600,00"
162924,MANILHA 020
253063,SACO HAMBURGUER 20X14 C 500
555368,TRIGO TIA NENA 1KG
609953,FILME PARA RAIO X 35.60 X 43.20 BASE VERDE CX 100
361211,AREIA FINA LAVADA DO RIO
422641,ANEL CONCRETO 400 X 50 CM
704430,PORCA SX NF 3 8
105372,"VITROR CORRER 1,00 X 1,50"
583061,CERA INGLEZA ARDOSIA MAX INCOLOR 750ML
389063,CARTUCHO TONER HP 7553X
305641,PUNHO ALAVANCA
207255,"BEMALIT VD NILO C 3,6ML"
350420,FAPEL PAPEL TOALHA BRANCO FD1000 FL
57963,LINGUICA CHURRASCO SAUDALI202810
276842,LIXA MASSA 80 A 257 FL NORTON
696939,FECHADURA ALIANCA INOX PREM.INT.2700 71
563353,FUTURA PISO BRANCO 18L
180688,REPARO VAL. HYDRA.ACIONAD.COMPL.222
372552,LAMPADA FLUORESCENTE TUBULAR 40W X 127V
220678,CARTUCHO EPSON T140320 AL STYLUS MAGENTA
685652,MADEIRA CEDRINHO
221559,CETOCONAZOL CR 30G EMS
73392,PERFIL CATALISADOR
254164,COIFA DA HOMOCINETICA LD
120360,CABRESTO
501741,ALPRAZOLAM 1MG CX 30 COM GENERICO GERMED
318877,SACO PANO ALVEJADO 18 B 40X65CM
130983,CLIPS MEDIO
627247,REGUA NIVEL POLIETILENO
291799,PARAFUSO CHIP
606398,SERENATA
448034,1X3.1 2 NC PARAFUSO LAMINA ACO 8.8
11830,PL. AGAR DNASE C AZUL TOLUIDINA 90MM PLAST LA ANVISA
423537,MAS OVOS VILMA ESPAGUETE N.8 30X500G
690940,LIPISTAT 40MG C 30 COM
427682,LUVA CIRURGICA ESTERIL N. 7.5 LEMGRUBER
665286,MACARRAO OREGON 01KG PAI NOSSO
85611,SABAO BARRA PCT 05
443697,LOC HID NIVEA SOFT MILK PELE SECA 400ML
364243,CONJUNTO PALHETA
664655,LINHA CERTA 3MM
578111,PROTETOR ARO 20 ABC GV SUPER
163206,MANTA FIBRA VD 300G
94576,TANDENE 30CP
7481,SABAO YPE C 05 UN
335307,TALCO TENYS PE CANFORADO 100GR
7745,CARTUCHO HP 670 CZ115AB MAGENTA
121184,CAFE BURIAN 500GR
644397,SONDA FOLEY 2 VIAS 30CC NO 10
112740,ASTRA ASSENTO UNIV SOFT BRANCO
460781,SEQUILHOS PANOLLI 400G
146258,OXALATO ESCITALOPRAM 15 MG
358752,ARR PRES 18 MM
136431,COTONETE TOPZ C 75 UNIDADES
700740,ALFINETE MAPA ROSA
212331,BROCA DIAMANT.KG N.1014
642115,"NARATRIN 2,5MG 4COM"
38303,ELETRODUTO PVC ROSCA 1 1 2 X 3M TIGRE
277966,MEMORIA  FRUTAS E HORTALICAS
567134,FRD GER BIGFRAL PLUS M C 9 UN
14777,TRIGO VILMA TRADI 1KG
665240,CARTUCHO CANON 40
317575,REPARO ROTOR ALT MBB
186575,SABAO BRILHANTE MACIEZ 1KG
288264,PANO CHAO ALVEJADO 50X80
23943,BISC CASEIROS SAN TIAGO
190491,COPO TRANSP 200 ML C 100UN
80233,REATOR ELETRONICO 2X40W 127V DUPLO
67675,HOMOCINETICA CAMBIO
59291,LUKMA CONT. CJX2 6511 LC1D 6511
553265,MACANETA INTERNA PORTA MB
419618,HD 500GB SATA DESKTOP
208485,BLOCO CONCRETO VAZADO 19X19X39
85997,"SABONETE LIQUIDO PEROLADO,PH NEUTRO"
88698,SILICONE ALTA TEMP 50 GR THREEB SILOC
433671,"REBITE REPUXO ALUM 4,0 X 10"
433620,TONER HP P1005 PRETO COMPATIVEL
406167,SORINE SSC SPRAY 50ML S CONSERV
237265,EXERCITADOR FAIXA ELASTICA CINZA SUPER
608054,PLACA CONTAGIRO
612845,CABO QUADRUPLEX 35MM
598871,FILME RAIO X ANALOGICO HR U 35X35CM
303391,"PORTA MADEIRA LISA 2,10X0,70 CANELA GUARANI"
217868,"CALHA GALVANIZADO 0,25"
295718,PATCH PANEL 24 P CAT5E SOHOPLUS
547634,PAO QUEIJO COQUETEL 1KG CX 8KG
178563,PRIMERA 20 MG
238075,FECHADURA ALAVANCA EXTERNA 2600 70
424710,CLINDAMICINA 300 MG CAPS G
704062,FILTRO OLEO PSL338
545583,VIDRO CINZA 8MM TEMPERADO
576662,"PORTA CURUPIXA SEMI OCA 2,10 X 0,80"
336402,MOLA PROPULSORA DA TAMPA KNOB
219468,CAPA PRENSADA 1 2
90021,FECHADURA PORTA ACO TETRA 1201 STAM
279551,MIX PLUS GEL LIMPA PISO 5 L GTIN
588880,DENTE PARA RETROESCAVADEIRA
692326,PAPEL HIGIENICO 60M BANCO FARDO C 64RL
230361,MANGUEIRA CORRUGADA 1 2 AMARELA
564651,JOGO CHAVES
334806,EQUIPO ALIMENTACAO ENTERAL
467022,CLORO KINTANA 6X2L
598937,TAMPA 2S0129954
291079,CT.MC PARAFUSO COXIM DO
496330,JANELA ALUMINIO
98574,TOALHA ROSTO BRANCA 408
400038,PORCA DA FACA FS220 STHIL PARALELO
126520,CD R ELGIN S CX
164740,BROA MILHO FORMA 30 CM
628287,LAMPADA 12V 2 W
317895,PREGADOR DE ROUPA
71902,PASTA ABA ELASTICO OFICIO DELLOFINE SORT
150322,VARA FERRO 3 16 5.00MM
108050,ALCOOL LIQUIDO 1 LITRO
80789,REF. 0 C1419.2 REPARO CIL. FREIO DIANT
383900,FLANCOX 400MG 20CP
658287,FITA VEDA ROSCA 18MMX25M PULVITEC
220358,CARRINHO ARMAZEM 300KG
587213,MIST BOLO VILMA CHOC COCO 400G
148441,BETERABA
105809,ABRAC 39CM ETE7575
179133,BLOCO RADIADOR
614895,SORINE SSC SOL NAS SPRAY 50ML
305276,OCULOS PROTECAO SS2
300719,OLEO SOJA LIZA 900ML PLASTICO
101420,TUBO CONCRETO 600X1000 MM PA 1 MF
579895,"INDATRAT 1,5MG CX 30"
143104,ABS SYM C ABAS NOTURNO C 8 EMBALAGEM C 8 ABS
417541,MUSSARELA PROSPERITI KG
275326,MARCA TEXTO COR ROSA
224527,CLIPS GALVANIZADO N 3 500G
708939,FUM QUETIAPINA C 1 25MG C 30 GEO
353143,TONER COMPATIVEL HP CE 505X CE280X PRETO
504064,ESG TUBO PLASTILIT 6 M 50 MM
97986,REFIL P TANQUE TINTA MAGENTA T664320 AL EPSON
351841,TOMADA MODULO PADRAO 2P T 10A EL 2238
310223,REGISTRO GAVETA METAL PN125 11 2
97857,TINTA GUACHE 200G
427074,ESPALHADOR CERA C CABO
303909,"POTE C TRAVAS RET.2,3L 234"
456258,FILTRO A C
468153,LUKSNOVA THINNER SINT MULTIUSO 206 5L
317183,BISC KROKERO ROSQUINHA LEITE 330G
251218,GRAMPEADOR 26 6 METAL JOCAR
72834,PEDRA BRITA N 1 MANTIQUEIRA
414545,BOLO MILHO
383108,GLIMEPERIDA
433638,ESPONJA ACO 60G C 8
492205,COTOVELO 90 1 2 GALV. TUPY
492818,NEOSORO ADULTO 30ML
358936,QUETIAPINA 50MG 90 CPS
58846,LONA L 348
50620,HFB9066 FEMEA GIRATORIA 90 3 8 F 001
340595,FRANGO PEITO CONGELADO SEM TEMPERO
532673,ARGAMASSA ACI INT. 20 KG QUARTZOLIT 0001.00001.020PL
450889,PINO FIXACAO PINCA FREIO DIANTEIRO
137663,CH ADITIVADA NOVA CALFIX 7 KG
285163,OLEO COCO COPRA EXT VIRGEM 200ML
392676,THINER RED. GERAL 900ML
668393,"STREPSILS 8,75MG C 16 PAST"
615049,1U3302 PONTA
537871,MARGARINA BECEL 500GR SABOR MANTEIG
449959,MANGUEIRA CRISTAL 1 4 1.5MM LUMERFLEX
521474,RETENTOR 8T4750
525757,PIRULITO ESFERICO SABORES VARIADOS PCT 700G
580272,LIXA D AGUA NR 100
212349,BROCA METAL 10MM
207057,BATENTE SUP . AMORTECEDOR DIANTEIRO
73478,PERFURADOR 2F
545748,ESTABILIZADOR ETERNY300VA 115V PTO
116453,BISNAGUINHA TRAD. MILANI
451761,LA ACO BOMBRIL 60G
85079,ROSQUINHAS KROKERO 1 KG E MEIO
276215,MASCARA P PARTICULAS TOXICAS
708652,FIBRA BETANIN 102X260MM PESADA VERDE
419278,POMADA IMESCARD BG 25G
